# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Variables are given as:,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# lat - grid cell centre latitude,,,,,,,,,,,,,
# lon - grid cell centre longitude,,,,,,,,,,,,,
# MI - moisture index,,,,,,,,,,,,,
# MAP - mean annual precipitation (mm),,,,,,,,,,,,,
# MAT - mean annual temperature (degrees C),,,,,,,,,,,,,
# MTCO - mean temperature of the coldest month (degrees C),,,,,,,,,,,,,
# MTWA - mean temperature of the warmest month (degrees C),,,,,,,,,,,,,
# GDD5 - growing degree days above 5 degrees C (days degrees C),,,,,,,,,,,,,
# MI SD - moisture index standard deviation,,,,,,,,,,,,,
# MAP SD - mean annual precipitation standard deviation (mm),,,,,,,,,,,,,
# MAT SD - mean annual temperature standard deviation (degrees C),,,,,,,,,,,,,
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C),,,,,,,,,,,,,
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C),,,,,,,,,,,,,
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# NaN values represent situations where a reconstruction isn't given.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
 lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT_SD, MTCO SD, MTWA SD, GDD5 SD
17,-99,  nan,  nan,-3.879634,-5.2297,-3.4199,-1416.08,  nan,  nan,1.24335,1.42737,1.57579,453.823
19,-99,0.4277,353.23,-4.649129,-5.71496,-4.215,-1696.93,0.310301,346.481,1.3241,1.60354,1.59589,483.295
21,-99,0.072572,-67.21,-4.685293,-6.3534,-3.8517,-1710.14,0.11471,148.772,1.22094,1.44312,1.45339,445.642
23,-99,0.039583,-39.894,-4.717912,-7.5867,-3.0742,-1722.05,0.104911,136.154,1.13437,1.36518,1.37109,414.045
25,-99,0.070493,6.769,-4.878833,-8.89205,-2.1739,-1771.73,0.118188,142.136,0.985527,1.23641,1.2982,330.813
27,-99,0.122085,75.35,-5.252478,-10.27047,-1.8196,-1831.28,0.092391,108.174,0.713245,1.08713,1.07635,239
29,-99,0.212344,145.421,-5.878996,-11.059986,-2.1785,-1835.18,0.069209,78.6264,0.340343,0.860616,0.82035,110.952
31,-99,0.352488,210.108,-7.670936,-12.81567,-3.915,-1846.16,0.066535,67.2796,0.694507,1.00944,0.975932,169.103
33,-99,0.403053,192.054,-9.365022,-14.61375,-5.3328,-2021.76,0.066985,60.1969,1.01214,1.20193,1.27266,236.843
35,-99,0.399248,150.628,-10.431742,-15.3915,-6.4185,-1986.17,0.072752,58.9868,1.17115,1.29198,1.47396,272.866
37,-99,0.381766,92.868,-10.874984,-15.3363,-7.0098,-1854.12,0.077946,56.6896,1.13752,1.19558,1.40843,237.044
39,-99,0.283941,17.831,-11.00101,-15.1045,-7.2527,-1719.8,0.074748,52.0462,1.05443,1.08339,1.26888,188.764
41,-99,0.233424,-34.523,-11.516848,-15.3417,-7.974,-1574.27,0.101133,61.9274,1.48188,1.33068,2.02533,287.218
17,-97,  nan,  nan,-4.523758,-6.31619,-3.8936,-1651.19,  nan,  nan,1.16696,1.44052,1.40808,425.94
19,-97,0.229495,9.44,-5.096153,-7.04318,-4.263,-1860.09,0.225123,241.105,1.2519,1.51448,1.37626,456.943
29,-97,0.137598,17.899,-6.23266,-12.39317,-1.7375,-1886.28,0.062305,72.3306,0.617448,1.00842,0.88765,177.346
31,-97,0.232361,67.761,-7.786541,-13.70859,-3.4263,-2036.53,0.05708,58.6236,0.672674,0.970514,0.82827,176.058
33,-97,0.28957,39.392,-9.330332,-15.16293,-4.6934,-1946.84,0.060047,51.9882,0.93026,1.1201,1.08878,214.391
35,-97,0.331815,-0.386,-10.782074,-15.9012,-6.5279,-2070.13,0.072379,54.1189,1.10392,1.22847,1.31547,254.316
37,-97,0.345896,-33.777,-11.870012,-16.0766,-8.2464,-2101.39,0.075598,49.2318,1.042,1.0804,1.24531,214.97
39,-97,0.326458,-58.903,-12.42328,-15.7684,-9.4051,-1996.74,0.0694,40.5909,0.898174,0.902675,1.00511,159.462
17,-95,  nan,  nan,-4.723547,-7.2228,-3.6512,-1724.08,  nan,  nan,1.21412,1.35367,1.51976,443.154
31,-95,0.090294,-114.91,-7.459727,-13.56552,-2.8522,-1957.64,0.058361,59.7073,0.727178,0.945895,0.785746,163.475
33,-95,0.142597,-135.72,-8.882041,-14.70793,-4.2112,-1929.81,0.052187,46.5343,0.741015,0.863241,0.773738,169.164
35,-95,0.195913,-178.196,-11.046306,-15.9008,-7.0228,-2171.8,0.067775,50.8396,0.940322,1.02221,1.07347,217.545
