lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   39.000000,    -1.000000,        -3.4833,         0.8993,        -3.8734,        -1.0000,        -3.4833,     3
   41.000000,    -1.000000,        -2.9450,         1.1362,        -2.5919,        -1.0000,        -2.9450,     2
   43.000000,    -1.000000,        -1.7371,         0.5101,        -3.4051,        -1.0000,        -1.7371,     9
   45.000000,    -1.000000,        -2.7900,         1.1362,        -2.4554,        -1.0000,        -2.7900,     2
   47.000000,    -1.000000,        -0.4017,         0.5196,        -0.7731,         0.0000,         0.0000,     6
   49.000000,    -1.000000,        -0.2375,         0.9657,        -0.2459,         0.0000,         0.0000,     2
   51.000000,    -1.000000,         1.4800,         1.6069,         0.9210,         0.0000,         0.0000,     1
   53.000000,    -1.000000,         1.4473,         0.7412,         1.9527,         0.0000,         0.0000,     4
   55.000000,    -1.000000,         1.8435,         0.9450,         1.9508,         0.0000,         0.0000,     2
   61.000000,    -1.000000,        -0.0067,         0.7803,        -0.0085,         0.0000,         0.0000,     3
   39.000000,     1.000000,        -4.3467,         0.9277,        -4.6852,        -1.0000,        -4.3467,     3
   41.000000,     1.000000,        -3.9415,         1.1730,        -3.3603,        -1.0000,        -3.9415,     2
   43.000000,     1.000000,         1.4335,         0.7821,         1.8328,         0.0000,         0.0000,     4
   45.000000,     1.000000,        -1.1347,         0.8487,        -1.3370,         0.0000,         0.0000,     3
   49.000000,     1.000000,         0.3380,         0.6767,         0.4995,         0.0000,         0.0000,     5
   51.000000,     1.000000,         0.5327,         0.6086,         0.8752,         0.0000,         0.0000,     7
   53.000000,     1.000000,         0.7950,         0.8108,         0.9805,         0.0000,         0.0000,     3
   39.000000,     3.000000,        -0.4700,         0.9277,        -0.5066,         0.0000,         0.0000,     3
   41.000000,     3.000000,        -6.3500,         1.6069,        -3.9517,        -1.0000,        -6.3500,     1
   43.000000,     3.000000,         1.1547,         0.6132,         1.8830,         0.0000,         0.0000,     6
   45.000000,     3.000000,         1.6438,         0.4010,         4.0991,         1.0000,         1.6438,    14
   49.000000,     3.000000,         0.8590,         0.6282,         1.3674,         0.0000,         0.0000,     6
   37.000000,     5.000000,         5.5000,         1.5561,         3.5345,         1.0000,         5.5000,     1
   39.000000,     5.000000,        -2.1267,         0.9277,        -2.2923,        -1.0000,        -2.1267,     3
   43.000000,     5.000000,        -2.7092,         0.7120,        -3.8053,        -1.0000,        -2.7092,     5
   45.000000,     5.000000,         0.1616,         0.3828,         0.4223,         0.0000,         0.0000,    17
   47.000000,     5.000000,         4.1000,         0.9814,         4.1777,         1.0000,         4.1000,     2
   49.000000,     5.000000,         1.2730,         0.7387,         1.7233,         0.0000,         0.0000,     4
   51.000000,     5.000000,         0.5512,         0.5049,         1.0918,         0.0000,         0.0000,     9
   53.000000,     5.000000,         0.8000,         0.7263,         1.1015,         0.0000,         0.0000,     4
   59.000000,     5.000000,         1.6567,         0.7891,         2.0994,         1.0000,         1.6567,     3
   61.000000,     5.000000,         2.9040,         0.6650,         4.3668,         1.0000,         2.9040,     4
   43.000000,     7.000000,        -4.7600,         1.6069,        -2.9622,        -1.0000,        -4.7600,     1
   45.000000,     7.000000,         2.3223,         0.3035,         7.6524,         1.0000,         2.3223,    26
   47.000000,     7.000000,         2.3400,         0.3999,         5.8516,         1.0000,         2.3400,    14
   49.000000,     7.000000,         3.2760,         0.8565,         3.8250,         1.0000,         3.2760,     3
   51.000000,     7.000000,         2.2300,         1.0836,         2.0580,         1.0000,         2.2300,     2
   53.000000,     7.000000,         0.6308,         0.7034,         0.8968,         0.0000,         0.0000,     5
   59.000000,     7.000000,         1.8880,         1.1362,         1.6616,         0.0000,         0.0000,     2
   63.000000,     7.000000,         1.5990,         0.8598,         1.8598,         0.0000,         0.0000,     2
    5.000000,     9.000000,         0.3000,         2.1939,         0.1367,         0.0000,         0.0000,     1
   43.000000,     9.000000,        -0.4148,         0.8165,        -0.5079,         0.0000,         0.0000,     4
   45.000000,     9.000000,        -0.5488,         0.7014,        -0.7825,         0.0000,         0.0000,     5
   47.000000,     9.000000,         2.4689,         0.3507,         7.0398,         1.0000,         2.4689,    17
   49.000000,     9.000000,         1.8105,         0.9728,         1.8611,         0.0000,         0.0000,     2
   51.000000,     9.000000,         0.8000,         0.4592,         1.7422,         0.0000,         0.0000,     1
   53.000000,     9.000000,        -0.2497,         0.5915,        -0.4222,         0.0000,         0.0000,     7
   55.000000,     9.000000,         2.1280,         0.7470,         2.8486,         1.0000,         2.1280,     4
   57.000000,     9.000000,         0.5546,         0.6954,         0.7976,         0.0000,         0.0000,     5
   59.000000,     9.000000,         2.1235,         0.9874,         2.1505,         1.0000,         2.1235,     2
